,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Barrow,71.2906,-156.7887,255.15,71,90,4.63,US,1612631204
1,Great Falls,47.5002,-111.3008,255.37,78,90,5.14,US,1612631124
2,Narsaq,60.9167,-46.05,274.15,25,1,10.8,GL,1612631063
3,Atuona,-9.8,-139.0333,299.91,77,57,10.02,PF,1612631209
4,Castro,-24.7911,-50.0119,297.74,50,0,3.33,BR,1612631210
5,Alice Springs,-23.7,133.8833,297.04,35,42,3.09,AU,1612631212
6,East London,-33.0153,27.9116,298.15,88,75,3.09,ZA,1612631213
7,Mar del Plata,-38.0023,-57.5575,295.93,64,75,7.2,AR,1612631215
8,Dikson,73.5069,80.5464,239.14,86,43,4.36,RU,1612631216
9,Hobart,-42.8794,147.3294,287.59,82,12,3.09,AU,1612631218
10,Rikitea,-23.1203,-134.9692,298.41,75,100,5.88,PF,1612631220
11,Yellowknife,62.456,-114.3525,230.93,65,1,1.94,CA,1612631221
12,Cape Town,-33.9258,18.4232,296.15,68,20,8.75,ZA,1612631090
13,Aktas,49.7789,72.9608,271.15,80,100,16.0,KZ,1612631225
14,Coyhaique,-45.5752,-72.0662,294.15,43,0,4.63,CL,1612631226
15,Punta Arenas,-53.15,-70.9167,286.15,47,20,3.09,CL,1612631024
16,Jamestown,42.097,-79.2353,266.48,53,1,7.72,US,1612631230
17,New Norfolk,-42.7826,147.0587,287.59,75,12,0.45,AU,1612631231
18,Thompson,55.7435,-97.8558,236.15,67,75,4.12,CA,1612631233
19,Nikolskoye,59.7035,30.7861,261.48,79,75,6.0,RU,1612631234
20,Lodwar,3.1191,35.5973,305.3,30,25,2.99,KE,1612631236
21,Fairbanks,64.8378,-147.7164,250.15,77,90,0.45,US,1612631237
22,Kushiro,42.975,144.3747,270.12,98,95,3.9,JP,1612631087
23,Ushuaia,-54.8,-68.3,285.15,50,20,9.77,AR,1612631241
24,Kon Tum,14.35,108.0,289.29,92,19,1.09,VN,1612631242
25,Tiksi,71.6872,128.8694,241.13,85,100,2.98,RU,1612631244
26,Hong Kong,22.2855,114.1577,292.59,68,0,1.78,HK,1612630981
27,La Unión,-5.4,-80.75,303.44,43,92,3.08,PE,1612631247
28,Hamilton,39.1834,-84.5333,272.15,40,1,1.86,US,1612630905
29,Basco,20.4487,121.9702,296.47,87,96,8.95,PH,1612631068
30,Lebu,-37.6167,-73.65,290.26,77,87,2.75,CL,1612631252
31,Puerto Ayora,-0.7393,-90.3518,300.15,78,75,5.14,EC,1612631254
32,Poum,-20.2333,164.0167,299.73,67,13,1.27,NC,1612631255
33,Busselton,-33.65,115.3333,288.15,95,100,0.89,AU,1612630989
34,Mehamn,71.0357,27.8492,269.66,94,100,8.81,NO,1612630989
35,Vaini,-21.2,-175.2,296.15,94,75,4.63,TO,1612631260
36,Ribeira Grande,38.5167,-28.7,289.15,88,75,10.8,PT,1612631043
37,Guayaramerín,-10.8368,-65.3614,298.15,94,75,2.06,BO,1612631263
38,Najrān,17.4924,44.1277,298.15,29,40,4.12,SA,1612631265
39,Qaqortoq,60.7167,-46.0333,274.15,25,1,10.8,GL,1612630992
40,Sur,22.5667,59.5289,291.37,60,0,3.14,OM,1612631268
41,Kapaa,22.0752,-159.319,288.71,82,1,4.12,US,1612631269
42,Chui,-33.6971,-53.4616,300.74,48,0,4.52,UY,1612631271
43,Vondrozo,-22.8167,47.2833,295.58,100,100,1.64,MG,1612631273
44,Ponta do Sol,32.6667,-17.1,288.71,60,47,0.89,PT,1612631274
